"Jahr";"Belegungstage";"Besucher insgesamt";"Besucher von  Konzerten und sonstigen kulturellen Veranstaltungen";"Besucher von  Tagungen, Kongressen, Konferenzen und Vorträgen";"Besucher von gesellschaftlichen und sonstigen Veranstaltungen"
"1996";163;168870;67520;47180;54170
"1997";288;167750;112270;24150;31330
"1998";299;215780;156250;22480;37050
"1999";294;183430;130950;32620;19860
"2000";294;192126;133289;34274;24563
"2001";282;201045;129500;32085;39460
"2002";281;171170;113330;31210;26630
"2003";286;183930;124580;33990;25360
"2004";299;178790;117330;38110;23350
"2005";271;146608;104820;23099;18689
"2006";276;191244;125789;39957;25498
"2007";294;168753;115998;33720;19035
"2008";282;154565;103001;36294;15270
"2009";296;196528;125504;55304;15720
"2010";300;178072;107625;53777;16670
"2011";290;181022;114973;52370;13679
"2012";293;183919;116974;51298;15647
"2013";297;195140;115020;60387;19733
"2014";287;205917;122778;63863;19276
"2015";283;210093;128218;67995;13880
"2016";278;200960;125191;61611;14158
"2017";266;203930;125188;63035;15707
"2018";254;196315;132876;52230;11209
"2019";239;184273;119654;54563;10056
"2020";121;76133;50883;22987;2263
