Jahr;Albert-Ludwigs-Universität, Studierende insgesamt;Albert-Ludwigs-Universität, Studierende weiblich;Albert-Ludwigs-Universität, Ausländische Studierende;Albert-Ludwigs-Universität, Studienanfänger (1. Hochschulsemester);Studierende nach Studienfächern, Katholische Theologie;Studierende Philosophie;Studierende Geschichte;Studierende Sprachwissenschaften;Studierende Psychologie;Studierende Erziehungswissenschaften;Studierende Politik- und Sozialwissenschaften;Studierende Rechtswissenschaft;Studierende Wirtschaftswissenschaften;Studierende Mathematik;Studierende Physik;Studierende Chemie;Studierende Pharmazie;Studierende Biologie;Studierende Geowissenschaften;Studierende Allgemeinmedizin;Studierende Zahnmedizin;Studierende Forstwissenschaft;Studierende Kunst-, Musikwissenschaft, Archäologie;Studierende Sport;Studierende Informatik, Mikrosystemtechnik;Studierende - sonstige Studienfächer
1990;22732;9710;1822;2925;647;296;1324;4158;567;91;759;2953;1534;609;867;916;523;1362;799;3244;562;632;639;250;0;0
1991;22825;9812;1916;2952;613;305;1288;4234;579;113;795;2837;1690;633;889;928;524;1361;814;3151;544;639;626;262;0;0
1992;23800;9938;2086;2357;661;304;1352;4257;596;116;921;2910;1700;673;933;953;552;1408;1047;3276;543;642;637;282;0;0
1993;23983;10588;2232;2364;674;319;1351;4514;596;144;902;2937;1662;743;890;931;563;1378;1063;3203;550;653;605;305;0;0
1994;23746;10242;2344;2194;644;321;1056;4582;602;157;818;3067;1590;686;751;852;551;1371;1031;3069;563;656;595;318;103;0
1995;23679;10663;2327;2758;641;314;1129;4621;588;177;850;3260;1532;700;707;784;570;1331;1036;2951;535;650;315;335;224;0
1996;23023;10520;2412;2758;672;303;1029;4653;612;195;831;3198;1379;652;599;707;551;1273;992;2755;523;654;324;346;316;0
1997;21178;9827;2362;2790;554;287;968;4277;619;173;804;2865;1259;544;490;552;528;1201;890;2666;496;627;584;320;413;0
1998;18768;8981;2354;2810;426;224;840;3706;611;152;688;2611;1101;428;361;403;479;1034;702;2645;477;565;469;283;518;0
1999;18507;8991;2490;2982;410;271;872;3612;626;141;711;2372;1112;392;355;424;466;1018;651;2601;468;568;450;264;687;0
2000;18683;9206;2794;3324;379;298;887;3722;615;148;700;2194;1193;371;382;427;476;1035;640;2528;478;610;413;256;886;0
2001;17653;8822;2828;726;412;294;701;3717;574;111;642;1942;1208;322;348;430;407;991;566;2335;468;573;373;239;800;0
2002;18739;9496;3147;819;360;358;760;3989;566;132;700;1920;1396;388;368;496;412;983;614;2360;460;604;504;246;966;0
2003;19835;10236;3506;891;353;445;1133;3858;589;143;687;1901;1623;435;449;545;427;1035;646;2372;453;654;551;266;1042;228
2004;20614;10694;3797;816;363;496;1156;3880;590;139;700;1940;1826;464;503;493;420;1072;661;2373;421;702;679;294;1092;350
2005;20831;10901;3646;1201;425;396;1313;3985;567;139;736;1900;1525;530;507;515;385;1071;619;2460;431;641;741;319;1056;570
2006;20840;10928;3522;1048;447;424;1209;3838;540;126;777;1845;1511;583;547;584;367;1103;592;2499;450;591;837;317;1030;623
2007;19696;10383;3339;787;390;370;1107;3604;510;109;774;1622;1505;597;510;562;354;1070;554;2416;442;580;521;293;1011;795
2008;19466;10292;3258;738;429;378;943;3455;529;108;719;1549;1500;598;499;553;390;1125;492;2391;457;597;908;281;941;624
2009;19398;10278;3131;596;369;371;904;3377;491;131;699;1631;1439;633;489;574;408;1090;460;2430;449;563;705;274;1033;878
2010;19941;10581;3245;647;360;363;1036;3250;499;163;700;1678;1359;667;469;601;522;1067;422;2590;481;771;737;279;1083;1333
2011;20364;10873;3172;710;361;349;887;3253;554;168;740;1761;1380;655;443;620;493;1053;439;2604;500;794;794;296;1109;1415
2012;21523;11314;3260;775;383;345;991;3302;581;179;769;1858;1411;692;473;688;546;1088;457;2587;514;940;517;338;1239;2006
2013;22256;11715;3259;730;395;328;963;3303;546;209;866;1912;1234;738;481;749;589;1096;424;2619;546;1021;529;361;1343;2420
2014;22975;12133;3416;755;363;331;939;3260;542;162;908;2011;1480;701;450;763;619;1057;498;2612;567;1076;498;400;1351;2872
2015;22906;12166;3577;886;322;328;838;3140;551;235;1201;2105;1525;697;417;806;606;1083;462;2599;561;1123;730;407;1154;2567
2016;23150;12198;3851;808;299;327;780;2967;528;226;1183;2227;1637;639;409;794;606;1091;501;2639;565;1112;856;403;1199;2704
2017;23373;12396;4164;854;261;301;724;2830;559;181;1114;2292;1765;607;408;756;619;1131;492;2701;573;1124;813;390;1240;3044
2018;22685;12039;4129;640;403;292;620;2577;582;170;1070;2351;1663;537;398;723;617;1174;488;2738;560;1144;741;419;1221;2780
2019;22760;12066;4223;743;406;273;677;2314;595;172;1001;2370;1778;521;447;927;645;1141;487;2877;604;1446;428;427;1600;1624
2020;22313;11822;3920;498;373;280;696;2104;599;160;965;2326;1709;485;447;872;642;1151;468;2984;606;1432;398;410;1910;1296
