"Gemeinde"                  ;"Bevölkerung (insgesamt) am 31.12.2019";"Bevölkerung je qkm Bodenfläche";"Bevölkerung je qkm Siedlungs- und Verkehrsfläche"
"Au"                        ;1480                                   ;3700                            ;2960
"Auggen"                    ;2796                                   ;1980                            ;1294
"Bad Krozingen"             ;20377                                  ;5710                            ;2699
"Badenweiler"               ;4432                                   ;3400                            ;1886
"Ballrechten-Dottingen"     ;2440                                   ;369                             ;1952
"Bötzingen"                 ;5331                                   ;4100                            ;1918
"Bollschweil"               ;2338                                   ;1420                            ;1916
"Breisach"                  ;15488                                  ;2840                            ;1862
"Breitnau"                  ;1751                                   ;440                             ;822
"Buchenbach"                ;3129                                   ;800                             ;1656
"Buggingen"                 ;4387                                   ;2870                            ;1497
"Ebringen"                  ;2867                                   ;3500                            ;2896
"Eichstetten"               ;3632                                   ;2950                            ;1381
"Eisenbach"                 ;2131                                   ;740                             ;1177
"Eschbach"                  ;2491                                   ;2480                            ;868
"Feldberg"                  ;1862                                   ;750                             ;786
"Friedenweiler"             ;2007                                   ;740                             ;1128
"Glottertal"                ;3167                                   ;1030                            ;2056
"Gottenheim"                ;2912                                   ;3330                            ;1879
"Gundelfingen"              ;11683                                  ;8180                            ;4071
"Hartheim"                  ;4768                                   ;1830                            ;1229
"Heitersheim"               ;6354                                   ;5430                            ;1992
"Heuweiler"                 ;1141                                   ;2830                            ;3003
"Hinterzarten"              ;2631                                   ;790                             ;1290
"Horben"                    ;1166                                   ;1330                            ;1851
"Ihringen"                  ;6152                                   ;2670                            ;1709
"Kirchzarten"               ;9743                                   ;461                             ;2230
"Lenzkirch"                 ;5064                                   ;87                              ;1292
"Löffingen"                 ;7617                                   ;87                              ;1115
"Merdingen"                 ;2582                                   ;179                             ;1153
"Merzhausen"                ;5288                                   ;1916                            ;5134
"Müllheim"                  ;19077                                  ;329                             ;2008
"Neuenburg am Rhein, Stadt" ;12273                                  ;278                             ;1534
"Oberried"                  ;2892                                   ;44                              ;1358
"Pfaffenweiler"             ;2589                                   ;717                             ;3196
"St Märgen"                 ;1863                                   ;56                              ;1116
"St Peter"                  ;2626                                   ;73                              ;1484
"Schallstadt"               ;6351                                   ;325                             ;1936
"Schluchsee"                ;2508                                   ;36                              ;751
"Sölden"                    ;1275                                   ;336                             ;2898
"Staufen im Breisgau, Stadt";8187                                   ;351                             ;2558
"Stegen"                    ;4511                                   ;171                             ;2452
"Sulzburg"                  ;2817                                   ;124                             ;2056
"Titisee-Neustadt"          ;12197                                  ;136                             ;1511
"Umkirch"                   ;5763                                   ;661                             ;3115
"Wittnau"                   ;1516                                   ;301                             ;2569
"Münstertal/Schwarzwald"    ;5072                                   ;75                              ;1792
"Ehrenkirchen"              ;7501                                   ;199                             ;2055
"March"                     ;9279                                   ;522                             ;3013
"Vogtsburg"                 ;6097                                   ;163                             ;998
"Bahlingen am Kaiserstuhl"  ;4236                                   ;335                             ;1925
"Biederbach"                ;1768                                   ;56                              ;1300
"Denzlingen"                ;13624                                  ;804                             ;3118
"Elzach"                    ;7274                                   ;97                              ;1971
"Emmendingen"               ;27977                                  ;828                             ;3158
"Endingen"                  ;10068                                  ;377                             ;1914
"Forchheim"                 ;1416                                   ;131                             ;1133
"Gutach im Breisgau"        ;4580                                   ;185                             ;2160
"Herbolzheim"               ;11126                                  ;314                             ;1552
"Kenzingen"                 ;10340                                  ;280                             ;1973
"Malterdingen"              ;3236                                   ;291                             ;1694
"Reute"                     ;2876                                   ;600                             ;3060
"Riegel"                    ;4006                                   ;219                             ;1358
"Sasbach am Kaiserstuhl"    ;3397                                   ;163                             ;1307
"Sexau"                     ;3397                                   ;209                             ;2311
"Simonswald"                ;3030                                   ;41                              ;1507
"Teningen"                  ;12111                                  ;301                             ;1929
"Vörstetten"                ;3104                                   ;394                             ;2848
"Weisweil"                  ;2144                                   ;112                             ;1624
"Wyhl"                      ;3853                                   ;227                             ;1976
"Rheinhausen"               ;3915                                   ;178                             ;1873
"Freiamt"                   ;4194                                   ;79                              ;1294
"Winden im Elztal"          ;2886                                   ;131                             ;1963
"Waldkirch"                 ;21850                                  ;451                             ;3362
