"Jahr";"Gesamteinsätze (im Stadtgebiet)";"Brände insgesamt (im Stadtgebiet)";"Großbrände (im Stadtgebiet)";"Mittelbrände (im Stadtgebiet)";"Kleinbrände (im Stadtgebiet)";"Hilfeleistungen insgesamt (im Stadtgebiet)";"Hilfeleistungen; Menschen in Notlagen (im Stadtgebiet)";"Hilfeleistungen; Tiere in Notlagen (im Stadtgebiet)";"Hilfeleistungen; Insekteneinsätze (im Stadtgebiet)";"Hilfeleistungen; Verkehrsunfälle und Bergung von Fahrzeugen (im Stadtgebiet)";"Hilfeleistungen; Straßensicherungsdienst (im Stadtgebiet)";"Hilfeleistungen; Wasserschäden (im Stadtgebiet)";"Hilfeleistungen; Sturmschäden (im Stadtgebiet)";"Hilfeleistungen; Umwelteinsätze insgesamt (im Stadtgebiet)";"Hilfeleistungen; Umwelteinsätze - Ölalarme zu Land (im Stadtgebiet)";"Hilfeleistungen; Umwelteinsätze - Ölalarme zu Wasser (im Stadtgebiet)";"Hilfeleistungen; Umwelteinsätze - Gefahrgut (im Stadtgebiet)";"Hilfeleistungen; Sicherung von Scheiben und Türen  (im Stadtgebiet)";"Hilfeleistungen; Sonstige Hilfeleistungen (im Stadtgebiet)";"Fehleinsätze insgesamt (im Stadtgebiet)";"Missbräuchliche Alarme  (im Stadtgebiet)";"Fehlalarme über Telefon (im Stadtgebiet)";"Fehlalarme über Brandmelder (im Stadtgebiet)";"Gesamteinsätze (als Überlandhilfe)";"Brände (als Überlandhilfe)";"Sonstige Hilfeleistungen (als Überlandhilfe)"
"1975";1737;317;0;22;295;1246;102;40;0;257;0;165;0;30;0;0;0;0;652;174;0;0;0;0;0;0
"1976";2470;388;0;36;352;1890;110;331;0;300;0;171;0;59;0;0;0;0;919;192;0;0;0;0;0;0
"1977";2675;361;0;39;322;2112;120;512;0;291;0;290;0;54;0;0;0;0;845;202;0;0;0;0;0;0
"1978";2775;355;0;36;319;2181;154;554;0;325;0;347;0;51;0;0;0;0;750;239;0;0;0;0;0;0
"1979";2997;392;0;35;357;2355;146;643;0;347;0;259;0;67;0;0;0;0;893;250;0;0;0;0;0;0
"1980";3222;360;0;19;341;2656;208;635;0;368;0;313;0;54;0;0;0;0;1078;206;0;0;0;0;0;0
"1981";3469;453;0;44;409;2798;234;611;0;401;0;352;89;78;0;0;0;0;1033;218;0;0;0;0;0;0
"1982";3268;390;0;40;350;2616;211;555;0;384;0;455;68;75;0;0;0;0;868;262;0;0;0;0;0;0
"1983";2778;414;0;43;371;2154;185;248;0;392;0;509;60;48;0;0;0;0;712;210;0;0;0;0;0;0
"1984";2559;437;0;38;399;1902;185;219;0;414;0;211;98;90;0;0;0;0;685;220;0;0;0;0;0;0
"1985";3367;459;0;65;394;2527;222;337;0;391;0;638;58;82;0;0;0;0;799;381;0;0;0;0;0;0
"1986";3398;452;0;44;408;2582;239;296;0;379;0;532;172;93;0;0;0;0;871;364;0;0;0;0;0;0
"1987";2715;516;0;23;493;1909;223;268;0;343;0;291;49;62;0;0;0;0;673;290;0;0;0;0;0;0
"1988";2315;423;0;28;395;1653;187;272;0;356;0;144;24;73;0;0;0;0;597;239;0;0;0;0;0;0
"1989";2761;493;0;35;458;2268;209;294;0;257;0;203;0;230;0;0;0;0;1075;0;0;0;0;0;0;0
"1990";3214;538;0;58;480;2676;233;308;0;327;0;548;0;264;0;0;0;0;996;0;0;0;0;0;0;0
"1991";2803;499;0;31;468;2304;235;307;0;329;0;243;0;73;0;0;0;0;1117;0;0;0;0;0;0;0
"1992";2741;523;6;28;489;1827;209;254;0;32;361;198;20;23;0;0;0;261;469;391;86;0;0;0;0;0
"1993";2657;541;13;32;496;1683;207;280;0;34;330;148;20;34;0;0;0;228;402;433;67;0;0;0;0;0
"1994";2928;496;10;30;456;1864;246;287;0;50;348;343;71;28;0;0;0;165;326;568;154;0;0;0;0;0
"1995";2864;547;6;24;517;1904;237;329;0;47;353;151;180;17;0;0;0;187;403;413;54;0;0;0;0;0
"1996";2726;521;9;30;482;1706;222;313;0;48;313;228;93;27;0;0;0;196;266;499;48;0;0;0;0;0
"1997";2609;520;3;29;488;1666;258;320;0;49;292;156;53;48;0;0;0;149;341;423;47;0;0;0;0;0
"1998";2736;534;13;40;481;1683;218;335;0;63;346;102;96;25;0;0;0;111;387;519;55;0;0;0;0;0
"1999";3350;510;5;28;477;2280;219;323;0;55;283;249;755;43;0;0;0;120;233;560;58;0;0;0;0;0
