"Jahr";"Kunsthaus L6";"Kunstverein Freiburg"
"1981";42621;0
"1982";28125;0
"1983";33059;0
"1984";20965;0
"1985";24093;0
"1986";24323;0
"1987";22385;0
"1988";30262;2000
"1989";16661;9799
"1990";13500;1919
"1991";15159;4036
"1992";14476;9184
"1993";14291;11199
"1994";11797;11357
"1995";10585;13329
"1996";11154;13842
"1997";16895;4393
"1998";7910;11570
"1999";11460;10680
"2000";15350;11829
"2001";14898;5735
"2002";10152;6023
"2003";1700;5045
"2004";1012;11500
"2005";2759;9135
"2006";2162;6849
"2007";3293;11293
"2008";2487;9165
"2009";2200;5126
"2010";2370;5375
"2011";2140;7001
"2012";1931;6796
"2013";2073;5475
"2014";2204;5332
"2015";2877;4706
"2016";2362;5614
"2017";1699;4595
"2018";1387;7372
"2019";1455;5592
"2020";1223;0
