"Jahr";"Vorführungen";"Besucher";"Platzausnutzung %"
"1982";323;11004;42.6
"1983";248;10753;54.2
"1984";382;20420;66.8
"1985";339;21697;80
"1986";358;21898;76.5
"1987";357;20196;70.7
"1988";420;23550;70.1
"1989";397;21821;68.7
"1990";415;24217;72.9
"1991";404;25228;78.1
"1992";345;23299;84.4
"1993";363;25171;86.7
"1994";358;25011;87.3
"1995";367;25640;87.3
"1996";402;28578;88.9
"1997";395;27208;86.1
"1998";348;22934;82.4
"1999";344;22977;83.5
"2000";348;22526;80.9
"2001";337;20626;76.5
"2002";19;2531;95.2
"2003";680;72437;76.1
"2004";666;66878;71.7
"2005";614;56744;66
"2006";624;53345;61.1
"2007";710;56588;56.9
"2008";672;48833;51.9
"2009";629;47753;54.2
"2010";584;46384;56.7
"2011";586;43197;52.7
"2012";594;44050;53
"2013";362;30088;59.4
"2014";579;45970;56.7
"2015";587;47369;57.6
"2016";600;48080;57.2
"2017";644;52175;57.9
"2018";626;49613;56.6
"2019";718;57275;57
"2020";173;19927;82.3
