"Jahr";"Besucher insgesamt";" im Augustinermuseum";" im Museum für Stadtgeschichte";" im Naturmuseum";" im Archäologisches Museum - Colombischlössle";" im Museum für Neue Kunst";" der Museumspädagogik"
"1981";95447;54758;0;40689;0;0;0
"1982";113350;56899;0;52143;2531;0;1777
"1983";144063;65931;0;72242;5890;0;6759
"1984";253858;74789;0;66806;105108;0;7155
"1985";317339;78407;0;89546;118281;16906;14199
"1986";426804;127716;0;115009;95861;74063;14155
"1987";464403;125428;0;142980;95629;84786;15580
"1988";388146;93388;0;126467;76714;77685;13892
"1989";395444;127432;0;114926;69503;66140;17443
"1990";403674;94339;0;150673;62363;74275;22024
"1991";382307;79869;0;155377;52493;68846;25722
"1992";241484;86607;0;0;46378;77390;31109
"1993";266953;42165;0;108231;41461;46241;28855
"1994";312239;48882;18485;105582;42030;64496;32764
"1995";321469;54058;22230;111206;26883;76212;30880
"1996";311167;36326;26036;73606;26833;125156;23210
"1997";244621;34298;24032;71300;21182;67012;26797
"1998";258872;70303;25958;72330;25653;33395;31233
"1999";256770;38134;26252;69860;30914;60382;31228
"2000";246374;46326;26112;72706;34379;29443;37408
"2001";270313;47521;30678;80310;36067;42301;33436
"2002";309648;89241;27129;82609;44433;33833;32403
"2003";169694;39100;19762;46210;22025;20830;21767
"2004";167863;49828;17199;46891;15329;21504;17112
"2005";178367;56449;14971;41558;17715;30049;17625
"2006";206435;60680;16753;50505;21623;34142;22732
"2007";166634;39619;17829;52223;19570;22035;15358
"2008";133850;37394;15590;31008;20718;29140;19142
"2009";61659;2147;17106;4137;13894;24375;14387
"2010";219042;89272;14438;45671;20125;49536;0
"2011";250179;139428;15732;39812;30192;25015;16278
"2012";219038;89175;14316;56859;21499;37189;25174
"2013";216248;89041;17912;44908;28446;35941;32626
"2014";248587;150999;19717;37515;13699;26657;32607
"2015";237079;126113;13019;43687;18350;35910;28608
"2016";311880;197391;14918;56990;15686;26895;32691
"2017";307442;177403;14214;53412;20657;41756;37128
"2018";250271;75884;11672;69367;21048;72300;29543
"2019";276800;143538;12538;61419;23119;36186;32770
"2020";105438;52822;5616;17658;9731;19611;858
