"Jahr";"Veranstaltungen";"Konzertbesucher"
"1983";40;5000
"1984";62;0
"1985";84;0
"1986";120;0
"1987";105;0
"1988";139;0
"1989";74;0
"1990";100;0
"1991";87;0
"1992";100;0
"1993";62;0
"1994";57;0
"1995";75;0
"1996";100;45000
"1997";110;0
"1998";53;0
"1999";54;0
"2000";50;50000
"2001";52;0
"2002";50;48000
"2003";50;50000
"2004";50;42000
"2005";48;44000
"2006";47;36000
"2007";47;39000
"2008";51;47000
"2009";49;34000
"2010";46;40000
"2011";49;42000
"2012";49;43000
"2013";49;43000
"2014";49;49000
"2015";48;41000
"2016";49;45000
"2017";48;45000
"2018";47;42000
"2019";48;41000
"2020";40;0
