"Jahr";"Beratungsstellen insgesamt";"Offene Altenarbeit, Begegnungsstätten";"Offene Altenarbeit, Stadtseniorenrat Freiburg e. V.";"Betreutes Wohnen, Altenwohnheim";"Betreutes Wohnen, Altenwohheim, Wohneinheiten/Plätze";"Betreutes Wohnen, Seniorenwohnanlagen";"Betreutes Wohnen, Seniorenwohnanlagen, Wohneinheiten/Plätze";"Betreutes Wohnen, Wohnstifte";"Betreutes Wohnen, Wohneinheiten/Plätze";"Ambulante Hilfen, Ambulante Pflegedienste insgesamt";"Ambulante Hilfen, Mobile Soziale Dienste/Nachbarschaftshilfen";"Ambulante Hilfen, Essen auf Räder";"Ambulante Hilfen, Hausnotrufdienste";"Teilstationäre Angebote, Tagespflegeeinrichtungen";"Teilstationäre Angebote, Tagespflegeeinrichtungen, Plätze";"Teilstationäre Angebote, Kurzzeitpflegeeinrichtungen";"Teilstationäre Angebote, Kurzzeitpflegeeinrichtungen, Wohneinheiten, Plätze";"Stationäre Angebote, Alten- u. Pflegeheime insgesamt";"Stationäre Angebote, Alten- u. Pflegeheime, Wohneinheiten/Plätze";"Stationäre Angebote, Alten- u. Pflegeheime, dav. Altenheimplätze";"Stationäre Angebote, Alten- u. Pflegeheime, dav. Pflegeheimplätze"
"1995";4;21;1;1;42;22;1517;2;460;10;6;2;1;2;18;7;8;21;1825;375;1450
"1996";4;21;1;1;42;22;1517;2;460;15;6;2;1;2;18;7;8;19;1800;302;1498
"1997";4;21;1;1;42;23;1652;2;460;20;6;2;1;3;38;7;8;19;1680;100;1580
"1998";4;22;1;1;42;23;1652;2;460;22;6;2;1;3;38;7;34;19;1680;100;1580
"1999";5;22;1;1;42;24;1780;2;460;25;6;2;1;3;38;7;34;19;1680;100;1580
"2000";5;22;1;1;42;24;1802;2;460;26;6;2;3;3;38;7;51;20;1759;80;1679
"2001";5;22;1;1;42;25;1821;3;490;26;6;2;3;4;45;7;50;20;1759;80;1679
"2002";5;22;1;1;42;25;1821;3;490;26;6;3;3;4;45;7;50;20;1784;80;1704
"2003";5;22;1;1;42;25;1821;3;490;26;6;3;3;4;45;7;50;20;1784;80;1704
"2004";5;21;1;1;42;25;1821;3;420;27;7;4;3;4;45;6;49;21;1826;80;1746
"2005";7;20;1;1;42;26;1842;3;433;28;7;4;5;4;45;4;17;21;1885;80;1805
"2006";7;20;1;2;94;26;1842;3;433;32;7;4;5;4;45;4;17;21;1842;37;1805
"2007";7;20;1;2;94;26;1837;3;422;30;7;4;7;4;45;4;17;22;1850;37;1813
"2008";7;20;1;2;94;26;1837;3;422;28;7;4;7;4;45;3;9;21;1956;37;1919
"2009";7;20;1;2;94;26;1830;3;422;29;7;4;8;4;43;4;11;21;1959;37;1922
"2010";7;19;1;1;52;27;1788;3;432;29;7;3;8;5;60;5;15;21;1969;37;1932
"2011";7;19;1;1;47;27;1788;3;432;29;7;3;8;5;60;5;12;21;1969;37;1932
"2012";8;19;1;1;47;27;1788;3;432;30;7;3;8;5;60;5;12;21;1969;37;1932
"2013";7;20;1;1;47;26;1771;3;432;30;7;3;8;5;60;4;6;21;1969;37;1930
"2014";7;20;1;1;47;26;1732;3;432;31;7;3;10;5;66;5;6;21;1968;36;1932
"2015";9;20;1;0;0;26;1732;3;435;34;6;3;10;4;56;4;6;21;1845;0;1845
"2016";9;20;1;0;0;26;1732;3;435;36;7;3;10;4;56;4;6;21;1845;0;1845
"2017";9;20;1;0;0;26;1699;3;435;33;7;3;10;3;44;4;8;22;2037;0;2037
"2018";10;19;1;0;0;26;1725;3;435;33;8;3;11;3;44;4;8;22;1940;0;1940
"2019";10;19;1;0;0;26;1693;3;435;33;8;3;11;5;82;5;9;23;2024;0;2024
