"Jahr";"Aufführungen";"Besucher";"Platzausnutzung in %"
"1992";120;16525;89.5
"1993";130;20544;85
"1994";152;21441;85
"1995";128;17932;85.2
"1996";130;17564;87.4
"1997";164;17912;88.1
"1998";183;16822;84.5
"1999";204;20612;93
"2000";177;19385;84.4
"2001";194;17007;87.5
"2002";230;15578;88.5
"2003";191;17611;89.5
"2004";172;16447;38.2
"2005";146;12476;84
"2006";233;18716;88
"2007";231;18224;86.8
"2008";212;16585;87
"2009";212;16581;92.5
"2010";240;17271;90
"2011";183;17215;89.6
"2012";179;14099;88.5
"2013";177;13563;91.2
"2014";179;14791;87
"2015";185;11000;84.9
"2016";183;13912;84.5
"2017";321;13515;78
"2019";344;13189;73.3
