"Jahr";"Aufführungen";"Besucher";"Platzausnutzung"
"1989";281;9870;35,5
"1990";603;19844;33,2
"1991";430;19751;46,4
"1992";369;19245;52,7
"1993";407;20170;50,1
"1994";392;20802;53,6
"1995";392;18466;47,6
"1996";251;18620;74,9
"1997";228;18857;83,5
"1998";265;19281;73,5
"1999";321;16428;51,7
"2000";344;17186;50,5
"2001";364;17462;48,5
"2002";348;15361;44,6
"2003";283;12299;43,9
"2004";319;13222;41,9
"2005";340;13062;38,8
"2006";345;12890;37,7
"2007";341;12910;38,2
"2008";343;13600;40,1
"2009";290;11495;40
"2010";266;11593;44
"2011";301;12239;41,1
"2012";295;14337;49,1
"2013";256;14020;55,3
"2014";304;17529;58,2
"2015";269;18623;69,9
"2016";312;21842;70,7
"2017";304;17328;57,6
"2018";332;19867;60,4
"2019";324;20586;64,2
